PrintSetupPage.c(7): Error -26610: HTTP Status-Code=502 (Bad Gateway) for "https://ppssupport-itgllbh7.inc.hp.com/us-en/printer-setup"  	[MsgId: MERR-26610]
BrowserCall_HomePage.c(169): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/termbase/us-en/siteHome" failed  	[MsgId: MERR-27760]
BrowserCall_PrinterLandingPage.c(175): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/sitemap/href" failed  	[MsgId: MERR-27760]
BrowserCall_ComputerPage.c(158): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_comp_carousel" failed  	[MsgId: MERR-27760]
BrowserCall_ComputerPage.c(188): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_comp_topicoptions" failed  	[MsgId: MERR-27760]
BrowserCall_PrinterLandingPage.c(98): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_print_carousel" failed  	[MsgId: MERR-27760]
BrowserCall_ComputerPage.c(173): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_comp_banner" failed  	[MsgId: MERR-27760]
BrowserCall_HomePage.c(143): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_sitehome_alerts" failed  	[MsgId: MERR-27760]
PrinterSetupPage_AnonymousUser.c(222): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/printsetup/resources" failed  	[MsgId: MERR-27760]
BrowserCall_PrinterLandingPage.c(130): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_print_topicoptions" failed  	[MsgId: MERR-27760]
PrinterSetupPage_AnonymousUser.c(174): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/printsetup/ssr/au-en?oid=3944755&os=Windows%20NT%2010.0;%20Win64;%20x64&osbit=64&userType=Anonymous&standardOids=18972,238445,1142650,8954252,8954253,11262035" failed  	[MsgId: MERR-27760]
PrinterSetupPage_AnonymousUser.c(159): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/productdata" failed  	[MsgId: MERR-27760]
BrowserCall_ComputerPage.c(188): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_comp_topicoptions" failed  	[MsgId: MERR-27760]
BrowserCall_PrinterLandingPage.c(161): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/ssc/region" failed  	[MsgId: MERR-27760]
PrinterSetupPage_AnonymousUser.c(206): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/printsetup/steps" failed  	[MsgId: MERR-27760]
BrowserCall_HomePage.c(169): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/termbase/us-en/siteHome" failed  	[MsgId: MERR-27760]
BrowserCall_ComputerPage.c(188): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_land_comp_topicoptions" failed  	[MsgId: MERR-27760]
PrintSetup_Landing.c(150): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/searchresult/us-en?q=deskjet&context=pdpMethod=GET" failed  	[MsgId: MERR-27760]
BrowserCall_PrinterLandingPage.c(146): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/cms-v1/us-en/wcc_sitehome_alerts" failed  	[MsgId: MERR-27760]
PrinterSetupPage_AnonymousUser.c(174): Error -27760: Request "https://ppssupport-itgllbh7.inc.hp.com/wcc-services/printsetup/ssr/au-en?oid=11262035&os=Windows%20NT%2010.0;%20Win64;%20x64&osbit=64&userType=Anonymous&standardOids=18972,238445,1142650,8954252,8954253,11262035" failed  	[MsgId: MERR-27760]
